stop_id,accessibility_id,cardinal_direction,relative_position,stop_city
40003,1,AT,AT,San Francisco
40006,1,NW,NS,San Francisco
40009,1,WE,FS,San Francisco
40012,1,SW,FS,San Francisco
40023,1,SE,FS,San Francisco
40024,1,NW,FS,San Francisco
40025,1,NW,NS,San Francisco
40026,1,SE,NS,San Francisco
40027,1,NW,NS,San Francisco
40028,1,SE,NS,San Francisco
40029,1,NW,NS,San Francisco
40030,1,SE,NS,San Francisco
40031,1,NW,NS,San Francisco
40032,1,SE,NS,San Francisco
40033,1,SE,FS,San Francisco
40034,1,NW,FS,San Francisco
40035,1,NW,NS,San Francisco
40036,1,SE,NS,San Francisco
40037,1,NW,AT,San Francisco
40038,1,NE,AT,San Francisco
40039,1,NE,FS,San Francisco
40041,1,SW,NS,San Francisco
40042,1,NE,NS,San Francisco
40043,1,SW,NS,San Francisco
40044,1,NW,FS,San Francisco
40045,1,SW,NS,San Francisco
40046,1,NE,NS,San Francisco
40047,1,SW,FS,San Francisco
40048,1,NE,FS,San Francisco
40049,1,NW,NS,San Francisco
40050,1,NE,FS,San Francisco
40051,1,NW,NS,San Francisco
40053,1,SW,FS,San Francisco
40054,1,SW,FS,San Francisco
40055,1,NW,NS,San Francisco
40057,1,NE,NS,San Francisco
40058,1,NW,NS,San Francisco
40063,1,NW,NS,San Francisco
40065,1,NW,FS,San Francisco
40066,1,SW,FS,San Francisco
40069,1,NE,NS,San Francisco
40078,1,NE,FS,San Francisco
40079,1,NW,NS,San Francisco
40082,1,SE,NS,San Francisco
40083,1,NW,NS,San Francisco
40090,1,SW,FS,Sausalito
40091,1,NE,FS,Sausalito
40092,1,NE,OP,Sausalito
40093,1,NW,NS,Sausalito
40094,1,NW,NS,Sausalito
40095,1,SE,NS,Sausalito
40096,1,SW,FS,Sausalito
40097,1,NE,FS,Sausalito
40098,1,NW,NS,Sausalito
40099,1,NE,FS,Sausalito
40100,1,NE,FS,Sausalito
40101,1,NW,OP,Sausalito
40102,1,SE,NS,Sausalito
40104,1,SW,FS,Sausalito
40105,1,NE,FS,Sausalito
40106,1,NW,OP,Sausalito
40107,1,NE,FS,Sausalito
40108,1,NW,NS,Sausalito
40110,1,WE,AT,Sausalito
40111,1,NE,AT,Sausalito
40112,1,SE,AT,Sausalito
40113,1,NW,FS,Marin City
40129,1,NW,FS,Mill Valley
40130,1,SW,NS,Mill Valley
40131,1,NE,NS,Mill Valley
40132,1,SW,NS,Mill Valley
40133,1,NW,FS,Mill Valley
40134,1,SE,FS,Mill Valley
40135,1,NE,NS,Mill Valley
40136,1,SW,NS,Mill Valley
40137,1,NW,FS,Mill Valley
40138,1,SW,NS,Mill Valley
40139,1,NE,NS,Mill Valley
40140,1,SE,FS,Mill Valley
40141,1,SW,NS,Mill Valley
40142,1,NE,NS,Mill Valley
40143,1,NW,FS,Mill Valley
40144,1,NE,FS,Mill Valley
40145,1,NW,NS,Mill Valley
40146,1,NE,FS,Mill Valley
40147,1,SW,FS,Mill Valley
40148,1,NE,OP,Mill Valley
40149,1,NW,OP,Mill Valley
40150,1,NE,FS,Mill Valley
40151,1,SW,FS,Mill Valley
40152,1,NE,OP,Mill Valley
40153,1,SW,FS,Mill Valley
40154,1,SE,OP,Mill Valley
40155,1,SW,FS,Mill Valley
40156,1,SE,OP,Mill Valley
40157,1,SE,NS,Mill Valley
40162,1,SW,AT,Mill Valley
40164,1,NW,AT,Mill Valley
40169,1,NE,FS,Mill Valley
